번호,도서명,분야,저자,역자,출판사,출간일,ISBN,페이지,정가,추천경로
37,"중학 과학 개념 65(NASA 연구원에게 배우는) (아침부터 밤까지, 내가 경험하는 모든 일이 과학 교과서가 되는 마법!)",과학/공학,케이티 메키시크,,매직사이언스,2020-05-25,9791188535187,296,15000,교육청 > 경남교육청 > 2020년 9월 행복한 책읽기
38,열 문장 쓰는 법 (못 쓰는 사람에서 쓰는 사람으로),시/에세이,김정선,,유유,2020-03-04,9791189683337,160,10000,교육청 > 경남교육청 > 2020년 9월 행복한 책읽기
39,세상을 담은 그림 지도,아동,김향금,,보림,2004-01-10,9788943305239,0,0,교육청 > 경남교육청 > 꿈이 있는 그림책
40,사람에 대한 예의,역사/문화,권석천,,어크로스,2020-06-05,9791190030519,324,15000,교육청 > 경남교육청 > 2020년 9월 행복한 책읽기
41,물개 할망(양장본 HardCover),인문,오미경,,모래알,2020-01-30,9791157852918,44,15000,교육청 > 경남교육청 > 2020년 8월 행복한 책읽기
42,오늘부터 티볼 (일공일삼 61),청소년,박상기,,비룡소,2020-04-21,9788949121888,212,11000,교육청 > 경남교육청 > 2020년 8월 행복한 책읽기
43,그림 그리는 아이 김홍도,아동,정하섭,,보림 ,1997-12-20,8943303378,0,0,교육청 > 경남교육청 > 꿈이 있는 그림책
44,날아라 혹아이,아동,한봉지,,리젬,2006-02-23,9788995748725,0,0,교육청 > 경남교육청 > 꿈이 있는 그림책
45,인어들,아동,신시아 하인리츠,,리젬,2011-08-18,9788992826556,0,0,교육청 > 경남교육청 > 꿈이 있는 그림책
46,호기심 대장 안철수,아동,김옥림,,문이당어린이,2011-02-25,,0,9800,교육청 > 경남교육청 > 진로와 관련된 책
47,독고솜에게 반하면 (제10회 문학동네청소년문학상 대상 수상작),소설,허진희,,문학동네,2020-01-23,9788954670302,232,11500,교육청 > 경남교육청 > 2020년 8월 행복한 책읽기
48,뉴욕도서관으로 온 엉뚱한 질문들(양장본 HardCover) (PECULIAR QUESTIONS AND PRACTICAL ANSWERS: A Little Bit of Wisdom and Whimsy From the Files of the New York Public Library),역사/문화,뉴욕공공도서관,,정은문고,2020-04-10,9791185153353,188,16800,교육청 > 경남교육청 > 2020년 8월 행복한 책읽기
49,우리가 인생이라 부르는 것들 (자기 삶의 언어를 찾는 열네 번의 시 강의),역사/문화,정재찬,,인플루엔셜,2020-02-25,9791189995539,356,16000,교육청 > 경남교육청 > 2020년 8월 행복한 책읽기
50,책벌레들의 책 없는 방학,아동,힐러리 매케이,,시공주니어,2011-02-20,,0,9000,교육청 > 경남교육청 > 진로와 관련된 책
51,아빠의 인생 사용법,아동,토마 스코토,,어린이작가정신,2011-02-22,,0,8500,교육청 > 경남교육청 > 진로와 관련된 책
52,기이한 DMZ 생태공원,인문,강현아,,소동,2020-01-31,9788994750415,42,15000,교육청 > 경남교육청 > 2020년 7월 행복한 책읽기
